,City,Lat,Lng,Country,Date,Max Temp,Wind Speed,Cloud Cover,Humidity
375,Sovetskiy,56.76,48.47,RU,1540686059,31.2,7.65,88,93
376,Masallatah,32.62,14.0,LY,1540685843,60.85,8.21,0,78
377,Moindou,-21.69,165.68,NC,1540684800,82.4,10.29,0,45
378,Neubrandenburg,53.56,13.26,DE,1540686059,40.11,9.44,56,92
379,Nemuro,43.32,145.57,JP,1540683000,53.6,5.82,20,71
380,Ostrovnoy,68.05,39.51,RU,1540686061,27.1,11.23,88,92
381,Fianarantsoa,-21.45,47.09,MG,1540686061,54.19,2.39,68,100
382,Warrensburg,38.76,-93.74,US,1540684500,66.2,3.36,1,36
383,Ivdel,60.7,60.42,RU,1540686061,29.31,8.66,12,82
384,Batemans Bay,-35.71,150.18,AU,1540686062,59.91,6.31,8,77
385,Salym,60.06,71.48,RU,1540686062,32.82,4.74,32,79
386,Pathein,16.78,94.73,MM,1540686062,72.96,7.43,0,97
387,Winnemucca,40.97,-117.74,US,1540684560,73.4,10.29,1,23
388,Terrace Bay,48.78,-87.1,CA,1540686062,42.36,16.6,92,100
389,Nipawin,53.36,-104.02,CA,1540681200,35.6,11.68,90,100
390,San Vicente,13.64,-88.78,SV,1540680600,80.6,6.93,40,83
391,Nauta,-4.51,-73.58,PE,1540686064,74.4,2.95,8,97
392,Lourdes,13.73,-89.37,SV,1540680600,84.2,6.93,40,83
393,Kahului,20.89,-156.47,US,1540684560,87.8,23.04,40,66
394,Tacoronte,28.48,-16.41,ES,1540684800,69.8,6.93,68,87
395,Waddan,29.16,16.14,LY,1540686065,68.55,8.43,0,54
396,Villa de Reyes,21.8,-100.93,MX,1540680180,66.2,11.41,40,59
397,Gurlan,41.84,60.39,UZ,1540683000,46.4,11.41,0,81
398,Mikuni,36.22,136.15,JP,1540681200,53.6,6.93,75,93
399,Charters Towers,-20.07,146.27,AU,1540686067,84.75,5.97,0,67
400,Otane,-39.89,176.62,NZ,1540686067,67.15,7.54,0,74
401,Kiunga,-6.12,141.3,PG,1540686070,78.81,2.73,80,90
402,Valkla,59.48,25.33,EE,1540684200,37.4,20.8,90,100
403,Lapi,57.91,26.99,EE,1540684200,33.8,8.05,92,100
404,Soligalich,59.08,42.29,RU,1540686072,29.67,9.22,76,98
405,Gat,14.69,-16.54,SN,1540684800,78.8,2.24,8,78
406,Chumikan,54.72,135.31,RU,1540686072,37.86,20.85,92,100
407,Weligama,5.97,80.42,LK,1540685980,75.79,7.2,80,100
408,Aldan,58.61,125.39,RU,1540686072,14.14,5.53,68,81
409,Kayankulam,9.18,76.5,IN,1540686073,77.68,3.18,48,100
410,Plymouth,50.37,-4.14,GB,1540684200,41.0,16.11,20,75
411,Valparaiso,41.47,-87.06,US,1540685700,48.2,6.08,90,70
412,Severo-Kurilsk,50.68,156.12,RU,1540686073,43.53,13.58,92,98
413,Port Hardy,50.7,-127.42,CA,1540684800,50.0,19.46,90,76
414,Berlevag,70.86,29.09,NO,1540686076,32.91,15.7,88,100
415,Kralendijk,12.15,-68.27,BQ,1540680900,82.4,14.99,20,78
416,Goderich,43.74,-81.71,CA,1540686077,39.03,14.7,92,100
417,Ortigueira,43.68,-7.85,ES,1540684800,42.8,8.05,20,93
418,Husavik,50.56,-96.99,CA,1540686077,40.02,7.43,36,96
419,Filadelfia,-22.35,-60.04,PY,1540686078,70.57,7.31,0,79
420,Mogadishu,2.04,45.34,SO,1540685905,77.73,8.88,20,100
421,Rongcheng,37.16,122.42,CN,1540686079,54.51,14.47,0,69
422,Markova,52.21,104.21,RU,1540683000,24.8,4.47,0,92
423,Maumere,-8.63,122.22,ID,1540686079,82.09,5.86,0,100
424,Miri,10.31,9.75,NG,1540686079,69.81,1.39,32,80
425,Katsuura,33.93,134.5,JP,1540681200,55.4,6.93,40,71
426,Mayahi,13.95,7.67,NE,1540686080,73.45,2.84,8,79
427,Ereymentau,51.62,73.1,KZ,1540686080,56.89,18.05,88,35
428,Dosso,13.05,3.19,NE,1540685960,80.88,5.19,20,65
429,Umm Lajj,25.02,37.27,SA,1540686082,73.72,7.99,0,93
430,Kirovskiy,45.09,133.51,RU,1540686082,34.75,5.75,24,67
431,Pedernales,0.07,-80.05,EC,1540686082,73.9,8.32,32,79
432,Khor,47.88,134.96,RU,1540686082,33.36,14.03,68,92
433,Awbari,26.59,12.77,LY,1540686151,55.86,3.4,0,80
434,Merauke,-8.49,140.4,ID,1540686083,87.67,11.01,0,72
435,Vannes,47.66,-2.76,FR,1540684800,37.4,9.17,40,86
436,Nirsa,23.78,86.71,IN,1540686083,67.02,3.74,80,85
437,Aleksandrovsk-Sakhalinskiy,50.9,142.16,RU,1540686083,45.96,13.69,0,89
438,Vao,59.1,26.19,EE,1540686084,37.5,17.72,92,97
439,Comodoro Rivadavia,-45.87,-67.48,AR,1540681200,64.4,11.41,0,42
440,Iwaki,37.05,140.89,JP,1540681200,53.6,6.93,75,76
441,Gobabis,-22.45,18.97,NA,1540681200,69.8,2.24,8,26
442,Pemberton,-34.44,116.03,AU,1540686087,58.87,6.64,0,76
443,Suleja,9.18,7.18,NG,1540681200,75.2,2.24,0,83
444,Port-Gentil,-0.72,8.78,GA,1540681200,80.6,13.87,75,88
445,Codrington,-28.95,153.24,AU,1540686087,73.54,6.2,48,63
446,Banda Aceh,5.56,95.32,ID,1540686087,74.98,2.06,64,100
447,Launceston,-41.43,147.14,AU,1540684800,51.8,8.05,0,43
448,Ulaangom,49.98,92.07,MN,1540686088,3.7,2.06,12,44
449,Shahapur,19.45,73.33,IN,1540683000,82.4,5.82,40,51
450,Kloulklubed,7.04,134.26,PW,1540684200,78.8,4.7,90,94
451,Chuncheng,22.17,111.79,CN,1540686088,62.97,5.19,0,61
452,Flinders,-34.58,150.85,AU,1540681200,62.6,16.11,90,55
453,Charyshskoye,51.4,83.56,RU,1540686089,28.41,7.65,0,56
454,Hervey Bay,-25.3,152.85,AU,1540686090,78.36,7.65,0,85
455,Vieux Fort,13.72,-60.95,LC,1540681200,80.6,9.17,20,78
456,Sarangarh,21.6,83.08,IN,1540686090,59.91,3.62,0,73
457,Dunedin,-45.87,170.5,NZ,1540685830,49.6,3.85,88,98
458,Sherbakul,54.63,72.39,RU,1540686091,43.35,11.68,92,100
459,Ilebo,-4.33,20.59,CD,1540686091,71.83,2.28,44,97
460,Hambantota,6.12,81.12,LK,1540686091,76.33,4.97,80,100
461,Taybad,34.74,60.78,IR,1540686091,50.68,18.28,92,99
462,Vaitape,-16.52,-151.75,PF,1540686093,78.72,7.99,64,100
463,Jamame,0.07,42.75,SO,1540686095,73.77,4.07,92,98
464,Pevek,69.7,170.27,RU,1540686096,14.55,11.23,48,100
465,Kelc,49.48,17.82,CZ,1540684800,46.4,8.05,90,93
466,Burns Lake,54.23,-125.76,CA,1540686096,42.85,6.2,0,72
467,Houma,35.63,111.36,CN,1540686096,38.62,4.52,0,55
468,Osa,57.28,55.46,RU,1540686096,32.95,8.43,88,79
469,Sechura,-5.56,-80.82,PE,1540686097,69.0,12.01,24,73
470,Zhezkazgan,47.8,67.71,KZ,1540686098,42.45,21.85,56,93
471,Sisimiut,66.94,-53.67,GL,1540686098,22.42,2.28,92,100
472,Sur,22.57,59.53,OM,1540686098,77.82,4.63,76,100
473,Harper,30.3,-99.24,US,1540684500,75.2,5.82,1,53
474,Hearst,49.69,-83.67,CA,1540686099,33.85,6.2,48,83
475,Mbanza-Ngungu,-5.25,14.87,CD,1540686099,67.42,2.73,12,94
476,Kamloops,50.68,-120.34,CA,1540684800,48.2,13.87,90,70
477,Okha,53.59,142.95,RU,1540686099,41.68,30.58,92,100
478,Langsa,4.47,97.97,ID,1540686100,70.71,1.95,56,91
479,Duobao,30.67,112.69,CN,1540686100,51.85,3.62,0,76
480,Tual,-5.67,132.75,ID,1540686100,82.09,5.41,0,100
481,Maues,-3.38,-57.72,BR,1540686100,83.62,2.95,48,75
482,Quatre Cocos,-20.21,57.76,MU,1540681200,64.4,6.93,20,88
483,Kosonsoy,41.25,71.55,UZ,1540683000,60.8,2.84,56,41
484,Mount Gambier,-37.83,140.78,AU,1540686101,56.8,3.4,20,75
485,Mumford,5.26,-0.76,GH,1540686101,78.18,6.2,12,95
486,Salisbury,51.07,-1.8,GB,1540684560,41.0,12.75,1,74
487,Yining,29.04,114.56,CN,1540686101,46.18,1.72,0,68
488,Peniche,39.36,-9.38,PT,1540684800,50.0,16.11,75,71
489,Vung Tau,10.35,107.08,VN,1540684800,80.6,4.7,20,83
490,Solnechnyy,50.72,136.64,RU,1540686105,35.65,9.1,44,85
491,Belem de Sao Francisco,-8.75,-38.97,BR,1540686105,85.6,4.97,68,38
492,Ostersund,63.18,14.64,SE,1540684200,28.4,8.05,80,74
493,Margate,-43.03,147.26,AU,1540684800,53.6,4.7,75,81
494,Xining,36.62,101.77,CN,1540686106,20.85,2.73,48,75
495,Serro,-18.6,-43.38,BR,1540686106,68.77,2.39,12,94
496,Mayo,63.59,-135.9,CA,1540684800,33.8,2.62,20,69
497,Kamiiso,41.82,140.65,JP,1540681200,50.0,3.36,75,76
498,Dicabisagan,17.08,122.42,PH,1540686106,74.67,15.48,92,100
499,Sistranda,63.73,8.83,NO,1540684200,26.6,4.7,20,79
500,Burlington,43.32,-79.8,CA,1540685280,39.2,20.8,90,93
501,Rudsar,37.14,50.29,IR,1540681200,55.4,4.7,90,93
502,Corrientes,-27.47,-58.83,AR,1540681200,73.4,5.82,0,60
503,Puerto Escondido,15.86,-97.07,MX,1540683900,84.2,2.95,40,70
504,Beisfjord,68.38,17.6,NO,1540684200,21.2,1.12,56,92
505,Belaya Gora,68.54,146.19,RU,1540686109,10.9,11.45,76,86
506,Manzhouli,49.6,117.43,CN,1540686109,20.58,17.6,0,59
507,Sinnamary,5.38,-52.96,GF,1540686109,81.19,7.09,80,96
508,Swiecie,53.41,18.45,PL,1540684800,41.0,3.36,90,86
509,Kayerkan,69.35,87.76,RU,1540686111,31.24,23.87,80,93
510,Florence,34.8,-87.68,US,1540684560,53.6,7.65,20,81
511,Moerai,-22.43,-151.33,PF,1540685910,70.57,21.63,100,100
512,Praia,-20.25,-43.81,BR,1540681200,69.8,9.66,75,83
513,North Bend,43.41,-124.22,US,1540684560,66.2,13.87,90,77
514,College,64.86,-147.8,US,1540684680,32.0,3.62,90,95
515,Ketchikan,55.34,-131.65,US,1540684560,55.4,8.05,1,47
516,Pachino,36.72,15.09,IT,1540686112,71.83,20.74,68,100
517,Dawei,14.07,98.19,MM,1540686112,76.56,3.96,0,82
518,Nadym,65.53,72.51,RU,1540686113,29.98,15.03,76,88
519,Sandwick,54.57,-2.89,GB,1540680600,35.6,12.75,0,93
520,Pacific Grove,36.62,-121.92,US,1540684500,80.6,5.82,1,68
521,Male,50.74,33.7,UA,1540685853,51.67,15.7,80,87
522,Ipixuna,-1.76,-48.8,BR,1540681200,82.4,9.17,0,69
523,North Shore,49.51,-117.29,CA,1540684800,50.0,2.24,90,76
524,Luba,17.32,120.7,PH,1540686115,76.33,7.43,8,70
525,Angoche,-16.23,39.91,MZ,1540686115,75.03,15.26,92,100
526,Kosai,34.71,137.53,JP,1540683000,60.8,8.05,20,59
527,Zima,53.93,102.05,RU,1540686115,21.34,2.73,0,68
528,Havelock,34.88,-76.9,US,1540684560,60.8,4.7,1,93
529,Poronaysk,49.22,143.1,RU,1540686117,42.9,9.44,0,90
530,Sijunjung,-0.69,100.95,ID,1540686118,71.02,2.73,44,97
531,Farmos,47.36,19.85,HU,1540684800,59.0,4.7,32,100
532,Inhambane,-23.87,35.38,MZ,1540686118,64.99,6.64,0,100
533,Ust-Maya,60.42,134.54,RU,1540686119,15.18,7.09,76,70
534,Antalaha,-14.9,50.28,MG,1540686119,68.28,5.53,36,91
535,Nybro,56.75,15.91,SE,1540684200,32.0,9.17,64,96
536,Pingliang,35.54,106.68,CN,1540686121,31.33,5.64,0,56
537,Toora-Khem,52.47,96.11,RU,1540686121,9.06,1.95,0,68
538,Porto Franco,-6.34,-47.4,BR,1540686121,83.62,5.41,68,65
539,Beringovskiy,63.05,179.32,RU,1540686121,31.02,6.87,76,100
540,Fergus,43.71,-80.37,CA,1540685280,35.6,13.87,90,97
